"Part";"Value";"Device";"Package";"Description";"CREATED_BY";"DESCRIPTION";"DIGI_KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";"TYPE";
"C1";"0.1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"C";"C1608JB1H104K";
"C2";"22u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";"GRM21BR61E226ME44";
"C3";"100u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"GRM31C61A107ME05";
"C4";"100u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";"GRM31C61A107ME05";
"C7";"0.1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"C";"C1608JB1H104K";
"C8";"0.1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"C";"C1608JB1H104K";
"C9";"0.1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"C";"C1608JB1H104K";
"IC1";"ADP3338AKCZ-3.3-RL";"ADP3338AKCZ-3.3-RL";"SOT230P700X180-4N";"LDO Voltage Regulator anyCAP 1A SOT223-3 Analog Devices ADP3338AKCZ-3.3-RL, LDO Voltage Regulator, 1.6A, 3.3 V +/-0.8%, 2.7  8 Vin, 3 + Tab-Pin SOT-223";"";"LDO Voltage Regulator anyCAP 1A SOT223-3 Analog Devices ADP3338AKCZ-3.3-RL, LDO Voltage Regulator, 1.6A, 3.3 V +/-0.8%, 2.7  8 Vin, 3 + Tab-Pin SOT-223";"";"1.8mm";"";"Analog Devices";"ADP3338AKCZ-3.3-RL";"";"584-ADP3338AKCZ3.3R";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADP3338AKCZ-33-RL?qs=WIvQP4zGangPtIg4n%252B1tTA%3D%3D";"";"";"";"";"";"";
"JP1";"";"PINHD-1X13";"1X13";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";
"JP3";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";
"JP4";"";"PINHD-1X14";"1X14";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";
"PWR_IN";"S2B-PH-K-S(LF)(SN)";"S2B-PH-K-S(LF)(SN)";"S2B-PH-K-S(LF)(SN)";"CONN HEADER R/A 2POS 2MM";"PCBLayout.com";"";"455-1719-ND";"";"JST Sales America Inc.";"";"";"";"";"";"S2B-PH-K-S(LF)(SN)";"";"";"";"";"";
"R11";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";
"R12";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";
"R13";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";
"R14";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";
"S1";"TL32PO";"TL32PO";"TL3XPO";"TINY SWITCH ON - MOM";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"S3";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"SJ3";"";"SJW";"SJW";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";
"SJ4";"";"SJW";"SJW";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";
"U$2";"TVAF17-WEC-R";"TVAF17-WEC-R";"TVAF17-WEC-R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP32_ESP-WROOM-32";"ESP32_ESP-WROOM-32";"ESP32_ESP-WROOM-32";"Espressif Systems ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1_I2C";"S4B-ZR";"S4B-ZR";"S4B-ZR";"ZH CONNECTOR 1.5 mm, 4 pin 1 row";"";"";"";"";"";"";"";"FARNELL";"";"";"S4B-ZR(LF)(SN)";"9491830";"38K8076";"0";"";"";
